year,total_pop,state_name,city_name,crime,cases,avg_case,state_pop
1977,491003,Maryland,Montgomery County,homicides,14,64.5,12560305
1977,456589,Tennessee,Nashville,homicides,82,93.5,5618695
1977,1044946,New York,Nassau County,homicides,19,412.75,50413965
1977,587776,Louisiana,New Orleans,homicides,173,173,2938880
1977,7481613,New York,New York City,homicides,1557,412.75,50413965
1977,351412,New Jersey,Newark,homicides,92,92,1757060
1977,339264,California,Oakland,homicides,94,138.11111111111111,34964485
1977,373570,Oklahoma,Oklahoma City,homicides,67,47.5,3631220
1977,118374,Florida,Orlando,homicides,15,59.4,9517935
1977,1897706,Pennsylvania,Philadelphia,homicides,323,187.5,11900595
1977,682200,Arizona,Phoenix,homicides,70,36.333333333333336,5525500
1977,482413,Pennsylvania,Pittsburgh,homicides,52,187.5,11900595
1977,385230,Oregon,Portland,homicides,41,41,1926150
1977,550201,Maryland,Prince George's County,homicides,51,64.5,12560305
1977,152840,North Carolina,Raleigh,homicides,10,28.5,2075770
1977,265220,California,Sacramento,homicides,41,138.11111111111111,34964485
1977,180122,Utah,Salt Lake City,homicides,12,12,900610
1977,764217,Texas,San Antonio,homicides,146,131,22275710
1977,788621,California,San Diego,homicides,50,138.11111111111111,34964485
1977,676625,California,San Francisco,homicides,141,138.11111111111111,34964485
1977,568303,California,San Jose,homicides,41,138.11111111111111,34964485
1977,5e5,Washington,Seattle,homicides,35,35,25e5
1977,512059,Missouri,St. Louis,homicides,195,146,5020570
1977,1140882,New York,Suffolk County,homicides,30,412.75,50413965
1977,264848,Florida,Tampa,homicides,31,59.4,9517935
1977,306500,Arizona,Tucson,homicides,35,36.333333333333336,5525500
1977,352674,Oklahoma,Tulsa,homicides,28,47.5,3631220
1977,235324,Virginia,Virginia Beach,homicides,16,14.5,3764670
1977,261732,Kansas,Wichita,homicides,34,34,1308660
1978,291834,New Mexico,Albuquerque,homicides,37,37,1459170
1978,121750,Texas,Arlington,homicides,6,142.57142857142858,22016340
