year,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,abb,state_name,city_name,city_state
1976,1027865,155,564,2723,6662,10104,12,983.008469011008,15.0798013357785,54.8710190540587,264.918058305322,648.139590315849,CA,California,Los Angeles County,"Los Angeles County, California"
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KY,Kentucky,Louisville,"Louisville, Kentucky"
1976,649819,113,472,2429,1766,4780,12,735.589448754192,17.3894576797539,72.635610839326,373.796395611701,271.76798462341,TN,Tennessee,Memphis,"Memphis, Tennessee"
1976,100763,5,15,89,202,311,12,308.645038357334,4.96213888034298,14.8864166410289,88.3260720701051,200.470410765857,AZ,Arizona,Mesa,"Mesa, Arizona"
1976,338721,84,145,2313,2630,5172,12,1526.92038580425,24.7991709991409,42.8080927961361,682.862887154915,776.450234854054,FL,Florida,Miami,"Miami, Florida"
1976,649499,70,216,1939,4562,6787,12,1044.95926860549,10.7775377637225,33.2564022423437,298.537796055113,702.387532544315,FL,Florida,Miami-Dade County,"Miami-Dade County, Florida"
1976,652517,57,168,1621,846,2692,12,412.556301215141,8.73540459482282,25.7464556478988,248.422646459786,129.651794512633,WI,Wisconsin,Milwaukee,"Milwaukee, Wisconsin"
1976,397421,27,300,1407,1220,2954,12,743.292377604606,6.7938030451335,75.4867005014833,354.032625351957,306.979248706032,MN,Minnesota,Minneapolis,"Minneapolis, Minnesota"
1976,480055,26,85,564,257,932,12,194.144420951766,5.41604607805356,17.7063044859443,117.486538000854,53.535532386914,MD,Maryland,Montgomery County,"Montgomery County, Maryland"
1976,445979,74,129,1722,906,2831,12,634.783252126221,16.5927095221972,28.9251287616682,386.116835097617,203.148578744739,TN,Tennessee,Nashville,"Nashville, Tennessee"
1976,NA,18780,NA,NA,NA,1004210,NA,467.8,8.7,NA,NA,NA,NA,NA,National,"National, NA"
1976,557327,170,264,2600,1776,4810,12,863.048084876563,30.5027389665313,47.3689593362604,466.512478311655,318.663908262115,LA,Louisiana,New Orleans,"New Orleans, Louisiana"
1976,367886,99,323,3834,2309,6565,12,1784.52020462861,26.9105103211321,87.7989377144007,1042.17067243657,627.640084156505,NJ,New Jersey,Newark,"Newark, New Jersey"
1976,333100,98,309,2894,2213,5514,12,1655.35875112579,29.4205944160913,92.7649354548184,868.808165716001,664.365055538877,CA,California,Oakland,"Oakland, California"
1976,376522,36,228,770,1326,2360,12,626.789404072006,9.56119429940349,60.5542305628888,204.503322515019,352.170656694695,OK,Oklahoma,Oklahoma City,"Oklahoma City, Oklahoma"
1976,116848,17,98,327,676,1118,12,956.798575927701,14.5488155552513,83.869642612625,279.850746268657,578.529371491168,FL,Florida,Orlando,"Orlando, Florida"
1976,1916665,338,764,7786,4225,13113,12,684.157116658362,17.6347979433026,39.8609042268732,406.226440196904,220.434974291282,PA,Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania"
1976,669005,53,240,1485,2078,3856,12,576.378352927108,7.92221283846907,35.8741713440109,221.971435191067,310.610533553561,AZ,Arizona,Phoenix,"Phoenix, Arizona"
1976,487106,62,287,2419,1853,4621,12,948.664151129323,12.7282357433495,58.9194138442146,496.606488115523,380.410013426236,PA,Pennsylvania,Pittsburgh,"Pittsburgh, Pennsylvania"
1976,379818,39,322,1913,2030,4304,12,1133.17430980101,10.2680757626021,84.7774460399454,503.662280355328,534.466507643134,OR,Oregon,Portland,"Portland, Oregon"
1976,578318,37,280,1941,1611,3869,12,669.009091883704,6.39786415086509,48.4162692497899,335.628495049436,278.566463433613,MD,Maryland,Prince George's County,"Prince George's County, Maryland"
1976,260700,52,192,1187,1368,2799,12,1073.64787111623,19.9462984273111,73.6478711162255,455.312619869582,524.741081703107,CA,California,Sacramento,"Sacramento, California"
1976,175400,11,102,482,364,959,12,546.750285062714,6.27137970353478,58.1527936145952,274.800456100342,207.525655644242,UT,Utah,Salt Lake City,"Salt Lake City, Utah"
1976,753069,119,263,1262,1641,3285,12,436.215008186501,15.8020048627682,34.9237586462861,167.580925519441,217.908319158005,TX,Texas,San Antonio,"San Antonio, Texas"
1976,773400,59,233,2271,1555,4118,12,532.454098784588,7.62865270235324,30.1267132143781,293.638479441427,201.060253426429,CA,California,San Diego,"San Diego, California"
1976,665e3,130,619,6628,3379,10756,12,1617.44360902256,19.5488721804511,93.0827067669173,996.691729323308,508.12030075188,CA,California,San Francisco,"San Francisco, California"
1976,557700,37,296,967,1223,2523,12,452.393760086068,6.63439124977587,53.0751299982069,173.39071185225,219.293526985835,CA,California,San Jose,"San Jose, California"
1976,534206,182,489,5303,3600,9574,12,1792.192524981,34.0692541828433,91.5377214033538,992.68821390999,673.897335484813,MO,Missouri,St. Louis,"St. Louis, Missouri"
1976,274568,42,162,1025,1706,2935,12,1068.95195361441,15.2967570874975,59.0017773374902,373.313714635354,621.339704554063,FL,Florida,Tampa,"Tampa, Florida"
1976,340927,24,136,554,750,1464,12,429.417441270419,7.03963018476096,39.8912377136454,162.498130098232,219.98844327378,AZ,Arizona,Tucson,"Tucson, Arizona"
1976,349516,27,131,392,1197,1747,12,499.834056237769,7.72496824179723,37.4804014694606,112.1550944735,342.47359205301,OK,Oklahoma,Tulsa,"Tulsa, Oklahoma"
1976,702e3,188,508,7044,2659,10399,12,1481.33903133903,26.7806267806268,72.3646723646724,1003.4188034188,378.774928774929,DC,NA,Washington,"Washington, NA"
1976,256455,19,111,514,470,1114,12,434.384199957107,7.40870718059699,43.2824472129613,200.425025832992,183.268019730557,KS,Kansas,Wichita,"Wichita, Kansas"
1977,292341,31,207,754,1398,2390,12,817.538422595531,10.6040548537496,70.8077211201987,257.917979346038,478.208667275545,NM,New Mexico,Albuquerque,"Albuquerque, New Mexico"
1977,112994,4,34,85,266,389,12,344.266067224808,3.54001097403402,30.0900932792892,75.2252331982229,235.410729773262,TX,Texas,Arlington,"Arlington, Texas"
1977,440300,138,510,3354,3593,7595,12,1724.96025437202,31.3422666363843,115.830115830116,761.753349988644,816.034521916875,GA,Georgia,Atlanta,"Atlanta, Georgia"
1977,137200,3,42,166,374,585,12,426.384839650146,2.1865889212828,30.6122448979592,120.991253644315,272.594752186589,CO,Colorado,Aurora,"Aurora, Colorado"
1977,321900,33,187,512,528,1260,12,391.425908667288,10.2516309412861,58.0925753339546,159.055607331469,164.026095060578,TX,Texas,Austin,"Austin, Texas"
1977,827494,171,499,7563,6050,14283,12,1726.05481127356,20.6648024034011,60.3025520426734,913.964330859197,731.123125968285,MD,Maryland,Baltimore,"Baltimore, Maryland"
